Name,id,Classification,Class,Mass,FallType,year,Latitude,Longtitude
L'Aigle,12434,Valid,L6,37000.0,Fell,1803.0,48.76667,0.63333
Charcas,5326,Valid,"Iron, IIIAB",1400000.0,Found,1804.0,23.08333,-101.01667
Bitburg,5062,Valid,"Iron, IAB complex",1500000.0,Found,1805.0,49.96667,6.53333
Timochin,24004,Valid,H5,65500.0,Fell,1807.0,54.5,35.2
Weston,24249,Valid,H4,150000.0,Fell,1807.0,41.266667,-73.266667
Lissa,14661,Valid,L6,12800.0,Fell,1808.0,50.2,14.85
Stannern,23713,Valid,Eucrite-mmict,52000.0,Fell,1808.0,49.28333,15.56667
Red River,22548,Valid,"Iron, IIIAB",800000.0,Found,1808.0,32.0,-95.0
Santa Rosa,23167,Valid,"Iron, IC",825000.0,Found,1810.0,5.91667,-73.0
Brahin,5130,Valid,"Pallasite, PMG",823000.0,Found,1810.0,52.5,30.33333
Charsonville,5329,Valid,H6,27000.0,Fell,1810.0,47.93333,1.56667
Chantonnay,5325,Valid,L6,31500.0,Fell,1812.0,46.68333,1.05
Limerick,14652,Valid,H5,50000.0,Fell,1813.0,52.56667,-8.78333
Bachmut,4917,Valid,L6,18000.0,Fell,1814.0,48.6,38.0
Lenarto,12763,Valid,"Iron, IIIAB",108500.0,Found,1814.0,49.0,21.0
Agen,392,Valid,H5,30000.0,Fell,1814.0,44.21667,0.61667
Durala,7750,Valid,L6,13200.0,Fell,1815.0,30.3,76.63333
Cambria,5203,Valid,"Iron, ungrouped",16300.0,Found,1818.0,43.2,-78.8
Cape York,5262,Valid,"Iron, IIIAB",58200000.0,Found,1818.0,76.13333,-64.93333
Burlington,5172,Valid,"Iron, IIIE",68000.0,Found,1819.0,42.75,-75.18333
Juvinas,12214,Valid,Eucrite-mmict,91000.0,Fell,1821.0,44.71667,4.3
Imilac,12025,Valid,"Pallasite, PMG",920000.0,Found,1822.0,-24.20333,-68.80667
Yanhuitlan,30349,Valid,"Iron, IVA",421000.0,Found,1825.0,17.53333,-97.35
Pavlograd,18176,Valid,L6,40000.0,Fell,1826.0,48.53333,35.98333
La Caille,12393,Valid,"Iron, ungrouped",626000.0,Found,1828.0,43.73333,6.78333
Bohumilitz,5099,Valid,"Iron, IAB-MG",59000.0,Found,1829.0,49.05,13.76667
Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667
Vouillé,24191,Valid,L6,20000.0,Fell,1831.0,46.63333,0.16667
Walker County,24204,Valid,"Iron, IIAB",74800.0,Found,1832.0,34.0,-87.16667
Charwallas,5330,Valid,H6,12000.0,Fell,1834.0,29.48333,75.5
Okniny,18002,Valid,LL6,12000.0,Fell,1834.0,50.83333,25.5
Lime Creek,14651,Valid,"Iron, IAB-ung",20000.0,Found,1834.0,31.55,-87.51667
Wichita County,24257,Valid,"Iron, IAB-MG",145000.0,Found,1836.0,34.06667,-98.91667
Gibeon,10912,Valid,"Iron, IVA",26000000.0,Found,1836.0,-25.5,18.0
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000.0,Found,1837.0,35.78333,-83.25
Gross-Divina,11207,Valid,H5,10500.0,Fell,1837.0,49.26667,18.71667
Yonozu,30366,Valid,H4/5,31650.0,Fell,1837.0,37.75,139.0
Coahuila,5387,Valid,"Iron, IIAB",2100000.0,Found,1837.0,28.7,-102.73333
Putnam County,18906,Valid,"Iron, IVA",32700.0,Found,1839.0,33.25,-83.25
Magura,15388,Valid,"Iron, IAB-MG",150000.0,Found,1840.0,49.33333,19.48333
Smithville,23654,Valid,"Iron, IAB-MG",70500.0,Found,1840.0,35.98333,-85.85
Carthage,5282,Valid,"Iron, IIIAB",127000.0,Found,1840.0,36.26667,-85.98333
Château-Renard,5332,Valid,L6,30000.0,Fell,1841.0,47.93333,2.91667
Ruff's Mountain,22779,Valid,"Iron, IIIAB",53070.0,Found,1844.0,34.3,-81.4
Barratta,4951,Valid,L4,200000.0,Found,1845.0,-35.3,144.56667
Netschaëvo,16949,Valid,"Iron, IIE-an",250000.0,Found,1846.0,54.23333,35.15
Deep Springs,6637,Valid,"Iron, ungrouped",11500.0,Found,1846.0,36.5,-79.75
Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,1847.0,50.6,16.3
Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847.0,41.9,-91.6
Singhur,23612,Valid,Pallasite?,14180.0,Found,1847.0,18.31667,73.91667
Seeläsgen,23474,Valid,"Iron, IAB-MG",102000.0,Found,1847.0,52.26667,15.55
Chesterville,5343,Valid,"Iron, IIAB",16500.0,Found,1849.0,34.7,-81.2
Schwetz,23461,Valid,"Iron, IIIAB",21500.0,Found,1850.0,53.4,18.45
Tucson,24061,Valid,"Iron, ungrouped",975000.0,Found,1850.0,31.85,-110.96667
Kesen,12286,Valid,H4,135000.0,Fell,1850.0,38.98333,141.61667
Yatoor,30358,Valid,H5,13600.0,Fell,1852.0,14.3,79.76667
Chupaderos,5363,Valid,"Iron, IIIAB",24300000.0,Found,1852.0,27.0,-105.1
Rodeo,22643,Valid,"Iron, IID",44000.0,Found,1852.0,25.33333,-104.66667
Mezö-Madaras,16628,Valid,L3.7,22700.0,Fell,1852.0,46.5,25.73333
Girgenti,10917,Valid,L6,18000.0,Fell,1853.0,37.31667,13.56667
Tazewell,23891,Valid,"Iron, IAB-sLH",27000.0,Found,1853.0,36.43333,-83.75
Cranbourne,5463,Valid,"Iron, IAB-MG",8600000.0,Found,1854.0,-38.1,145.3
Sarepta,23178,Valid,"Iron, IAB-MG",14000.0,Found,1854.0,48.48333,44.81667
Madoc,15381,Valid,"Iron, IIIAB",168000.0,Found,1854.0,44.5,-77.46667
Duel Hill (1854),7738,Valid,"Iron, IVA",21800.0,Found,1854.0,35.85,-82.7
Verkhne Udinsk,24166,Valid,"Iron, IIIAB",18000.0,Found,1854.0,54.76667,113.98333
Orange River (iron),18023,Valid,"Iron, IIIAB",148800.0,Found,1855.0,-30.0,25.0
Narraburra,16915,Valid,"Iron, IIIAB",32200.0,Found,1855.0,-34.25,147.7
Barranca Blanca,4950,Valid,"Iron, IIE-an",12000.0,Found,1855.0,-28.08333,-69.33333
Fort Pierre,10167,Valid,"Iron, IIIAB",15900.0,Found,1856.0,44.35,-100.38333
Nelson County,16942,Valid,"Iron, IIIF",73030.0,Found,1856.0,37.75,-85.5
Trenzano,24046,Valid,H3/4,11800.0,Fell,1856.0,45.46667,10.0
Hainholz,11473,Valid,Mesosiderite-A4,16500.0,Found,1856.0,52.28333,8.91667
Mincy,16694,Valid,Mesosiderite-B4,89400.0,Found,1857.0,36.55,-93.1
Parnallee,18108,Valid,LL3.6,77600.0,Fell,1857.0,9.23333,78.35
Ohaba,17995,Valid,H5,16250.0,Fell,1857.0,46.06667,23.58333
